品牌,型号,颜色,系统,价格,月成交纪录,累计评价,手机类型,电池类型,核心数,电池容量,机身款式,键盘类型,厚度,后置摄像头,摄像头类型,视频显示格式,机身内存,运行内存,尺寸,触屏类型,分辨率,收藏人气,字段25
 POMP/盛况, P8S, 白色 藏青色, Android/安卓,699.00,6,, 3G手机 老人手机, 可拆卸式电池, 双核心, 1GHz,, 直板, 虚拟触屏键盘,, 30万, 双摄像头（前后）, 8GB, 1GB, 4.5英寸, 电容式, 854x480,（82人气）,
 Sony/索尼, e2363, 红色 白色 黑色, Android/安卓,2865.00,2,, 拍照手机 三防手机 音乐手机 时尚手机 智能手机 4G手机, 不可拆卸式电池, 双四核, 2400mAh, 直板, 虚拟触屏键盘, 7.3mm, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 2GB, 5.0-5.5英寸, 电容式, 1280x720,（60人气）,
 TAKEE, TAKEE1, 金色 白色 黑色, Android/安卓,3449.00,3,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 电视手机 商务手机 女性手机, 可拆卸式电池, 八核, 2.0G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 32GB, 2GB, 5.5英寸, 电容式, 1920x1080,（3681人气）,
 东信, dx2618, 黑色 白色, Android/安卓,598.00,1,, 拍照手机 智能手机 老人手机, 可拆卸式电池, 单核心, 1GHz,, 直板, 虚拟触屏键盘,, 200万, 双摄像头（前后）, 512MB, 256MB, 4.0英寸, 电容式, 800x480,（134人气）,
 易百年, EZ885, 红色 黑色, 无操作系统,599.00,2,, 时尚手机 儿童手机 商务手机 女性手机 老人手机, 可拆卸式电池, 单核心, 无,, 翻盖, 12键标准键盘,, 200万, 单摄像头, 32MB, 64MB, 2.6英寸, 非触摸屏, 240x320,（30人气）,
 易百年, ez626, 红色 铁灰, 无操作系统,699.00,2,, 拍照手机 时尚手机 商务手机 女性手机 老人手机, 可拆卸式电池, 无, 1200mAh, 直板, 12键标准键盘, 16.2mm, 30万, 单摄像头, 480P(逐行标清D2), 128MB, 128MB, 2.0英寸, 非触摸屏, 220X176,（33人气）,
 Hisense/海信, 晴雪白, Android/安卓, 智能手机 3G手机 4G手机,368.00,3,, 可拆卸式电池, 四核心, 1.2GHz, 1900mAh, 直板, 虚拟触屏键盘, 1CM以上, 500万, 单摄像头, 480P(逐行标清D2), 4GB, 512MB, 4.5英寸, 电容式, 854x480,（59人气）,
 ZTE/中兴, U809, 白色, Android/安卓,238.00,2,, 智能手机 3G手机, 可拆卸式电池, 双核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 200万, 单摄像头, 512MB, 256MB, 4.0英寸, 电容式, 800x480,（41人气）,
 nFOX/云狐手机, J1, 黄色, 无操作系统,999.00,1,, 拍照手机 三防手机 音乐手机 时尚手机 老人手机, 可拆卸式电池, 无, 1200mAh, 直板, 12键标准键盘, 1CM以上, 300万, 单摄像头, 480P(逐行标清D2), 128MB, 0, 2.4英寸, 非触摸屏, 320x240,（2888人气）,
 BlackBerry/黑莓, 9930, 黑色, 黑莓,8000.00,1,, 拍照手机 智能手机 3G手机, 可拆卸式电池, 单核心, 1.2GHz,, 直板, QWERTY全键盘,, 500万, 单摄像头, 8GB, 768MB, 2.8英寸, 电容式, 640x480,（767人气）,
 UniSTAR/友信达, 黑色 蓝色, 无操作系统, 拍照手机 女性手机 老人手机,599.00,1,, 可拆卸式电池, 无, 4000mAh,, 12键标准键盘, 1CM以上,, 单摄像头, MP4/Ts/ASF/WMV/MKV/Webm/AVI/DivX/3gp/3g2,, 无, 无, 2.4英寸, 非触摸屏, 240x320,（1人气）,
 DOOV/朵唯, T20L, 动感白 淘气粉, Android/安卓,999.00,3,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 女性手机, 可拆卸式电池, 四核, 1900mAh, 直板, 虚拟触屏键盘, 9mm以下, 500万, 双摄像头（前后）, 720P(逐行高清D4), 8GB, 1GB, 5.0英寸, 电容式, 960x540,（27人气）,
 Pioneer/先锋, C1, 白色, Android/安卓,1799.00,1,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机 商务手机 女性手机 老人手机, 不可拆卸式电池, 八核, 1.3GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.2, 电容式, 1920x1080,（84人气）,
 datang, T68, 褐色, Android/安卓,549.00,1,, 老人手机, 可拆卸式电池, 单核心, 1GHz,, 翻盖, 双键盘,, 200万, 单摄像头, 512MB, 512MB, 3.5英寸, 电容式, 480X320,（205人气）,
 乐目, A1200, 黑色 黄色, Android/安卓,2399.00,3,, 拍照手机 三防手机 时尚手机 智能手机 3G手机 电视手机 商务手机, 不可拆卸式电池, 四核, 3300mAh, 直板, 虚拟触屏键盘, 1CM以上, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 2GB, 4.0-4.5英寸, 电容式, 1280x720,（194人气）,
 UniSTAR/友信达, S5, 金色 黑色, 无操作系统,398.00,3,, 拍照手机 音乐手机 时尚手机 商务手机 女性手机, 可拆卸式电池, 无, 1250mAh, 直板, 12键标准键盘, 1CM以上, 100万, 单摄像头, 360P(逐行标清), 无, 无, 2.4英寸, 电阻式触摸屏, 480x360,（27人气）,
 OUKI/欧奇, OK105, 金色 银色, 无操作系统,299.00,2,, 商务手机, 可拆卸式电池, 无, 2500mAh, 直板, 12键标准键盘, 1CM以上, 8万, 单摄像头, 360P(逐行标清), 32MB, 32MB, 2.4英寸, 电阻式触摸屏, 240x320,（881人气）,
 OUKI/欧奇, OK&nbsp;V13, 褐+金 黑+金, 无操作系统,499.00,2,, 商务手机, 可拆卸式电池, 无, 2000mAh, 翻盖, 12键标准键盘, 1CM以上, 30万, 单摄像头, 360P(逐行标清), 64MB, 无, 内屏2.8英寸，外屏1.8英寸, 电阻式触摸屏, 240x320,（342人气）,
 Daxian/大显, GS123, 白色 咖啡色 黑色, 无操作系统,299.00,2,, 老人手机, 可拆卸式电池, 无,, 12键标准键盘, 1CM以上,, 单摄像头,,, 无, 无, 2.3英寸, 电阻式触摸屏, 320x240,（20人气）,
 Coolpad/酷派, 7231, 黑色, Android/安卓,275.00-285.00,0,, 智能手机, 可拆卸式电池, 双核心, 1.3GHz,, 直板, 虚拟触屏键盘,, 200万, 单摄像头, 512MB, 256MB, 4.0英寸, 电容式, 800x480,（7人气）,
 Changhong/长虹, A6, 钢琴黑+冠军金, 无操作系统,290.00,4,, 拍照手机 音乐手机 商务手机 老人手机, 可拆卸式电池, 无, 3500mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 360P(逐行标清), 无, 无, 2.8英寸, 电阻式触摸屏, 320x240,（40人气）,
 Infocus/富可视, M810, 电信版黑色, Android/安卓,2799.00,1,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 商务手机, 不可拆卸式电池, 四核心, 2.5GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.5英寸, 电容式, 1920x1080,（28人气）,
 HTC, 801E, 魅夜红 极光蓝 尊荣金 极地黑 冰川银, Android/安卓,1599.00,1,, 拍照手机, 不可拆卸式电池, 四核心, 1.5GHz,, 直板, 虚拟触屏键盘,, 400万, 双摄像头（前后）, 16GB, 2GB, 4.7英寸, 电容式, 1920x1080,（117人气）,
 vivo, X5MAX&nbsp;L, 香槟金 极光白, Android/安卓,3298.00,1,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 女性手机, 不可拆卸式电池, 八核-1.5GHz, 2000mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 2GB, 5.5英寸, 电容式, 1920x1080,（428人气）,
 YEPEN/誉品, DM7, 金色, Android/安卓,4999.00,1,, 拍照手机 音乐手机 时尚手机 智能手机 电视手机 4G手机 商务手机, 不可拆卸式电池, 四核, 3150mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 720P(逐行高清D4), 16GB, 2G, 6.0英寸, 电容式, 1280x720,,
 nubia/努比亚, NX505J, 黑色 白色, Android/安卓,1938.00,1,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 商务手机, 不可拆卸式电池, 四核心, 2.5GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 32GB, 2GB, 5.5英寸, 电容式, 1920x1080,（36人气）,
 易百年, EZ608, 黑色, 无操作系统,639.00,3,, 老人手机, 可拆卸式电池, 无, 1000mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 360P(逐行标清), 256MB, 256MB, 1.8英寸, 非触摸屏, 128x160,（4人气）,
 Motorola/摩托罗拉, XT760, 炫视黑, Android/安卓,1000.00,2,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 商务手机 女性手机, 可拆卸式电池, 双核心, 1GHz, 直板, 虚拟触屏键盘, 9mm以下, 800万, 双摄像头（前后）, 1080I(隔行高清D3), 2GB, 768MB, 4.0英寸, 电容式, 960x540,（215人气）,
 Huawei/华为, g616-L076, 灰色, Android/安卓,999.00,1,, 4G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4GB, 512MB, 5.0英寸, 电容式, 960x540,（46人气）,
 Changhong/长虹, N1, 深邃黑 皓月白, Android/安卓,999.00,2,, 拍照手机 时尚手机 智能手机 3G手机 4G手机 商务手机 女性手机, 可拆卸式电池, 四核心, 1.5GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头(前后), 8GB, 1GB, 5.0英寸, 电容式, 960x540,（21人气）,
 KINGSUN/广信, 迷彩绿 海军蓝 白色 黑色, Nucleus, 保密手机,179.00,2,, 可拆卸式电池, 无, 1000mAh,, 12键标准键盘, 1CM以上,, 无摄像头, 不详,, 128MB, 64MB, 2.4英寸, 非触摸屏, 240x320,（1人气）,
 BROR, F1, 白色 黑色, Android/安卓,799.00,2,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 商务手机 女性手机 老人手机, 可拆卸式电池, 四核心, 1.3GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4GB, 512MB, 5.0英寸, 电容式, 480x854,（36人气）,
 ZTE/中兴, U960S3, 黑色, Android/安卓,398.00,1,, 智能手机, 不可拆卸式电池, 双核心, 1GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4GB, 1GB, 4.3英寸, 电容式, 800x480,（85人气）,
 Changhong/长虹, V70T, 桃粉色, Android/安卓,568.00,1,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 商务手机 女性手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4GB, 512MB, 4.5英寸, 电容式, 854x480,（57人气）,
 YEPEN/誉品, DM&nbsp;R1, 白色 黑色, Android/安卓,1500.00,2,, 拍照手机 4G手机, 不可拆卸式电池, 八核, 2.0G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.0英寸, 电容式, 960x540,（179人气）,
 HTC, 8060, 冰川银, Android/安卓,2099.00,2,, 拍照手机 智能手机 3G手机, 不可拆卸式电池, 四核心, 1.7GHz,, 直板, 虚拟触屏键盘,, 400万, 双摄像头（前后）, 16GB, 2GB, 5.9寸, 电容式, 1920x1080,（106人气）,
 nFOX/云狐手机, J4, 黄色 黑色, Android/安卓,3000.00,2,, 拍照手机 三防手机 音乐手机 时尚手机 智能手机 3G手机, 不可拆卸式电池, 双核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB, 1GB, 5.3英寸, 电容式, 960x540,（108人气）,
 ZTE/中兴, N880F, 黑色, Android/安卓,268.00,2,, 智能手机 3G手机 商务手机, 可拆卸式电池, 双核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 单摄像头, 4GB, 512MB, 4.0英寸, 电容式, 800x480,（430人气）,
 东信, EA308, 白色 黑色, 无操作系统,598.00,3,, 老人手机, 可拆卸式电池, 单核心, 无,, 直板, 12键标准键盘,, 30万, 单摄像头, 64MB, 64MB, 2.0英寸, 非触摸屏, 220X176,（2013人气）,
 PHICOMM/斐讯, X130W, 白色, Android/安卓,1299.00,1,, 拍照手机 智能手机 3G手机 商务手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 4GB, 1GB, 5.0英寸, 电容式, 1280x720,（143人气）,
 奇酷, 辰光银, 360OS, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 商务手机,2099.00,256,, 不可拆卸式电池, 64位高通骁龙808处理器, 3700mAh,, 虚拟触屏键盘, 最薄处3.5mm,, 双摄像头（后双）, 1080P(全高清D5),, 16GB 32GB, 3GB, 6.0英寸, 电容式, 1920x1080,（524人气）,
 奇酷, 奇酷手机青春版, 流光金 智铂银, 360OS,1400.00,330,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机, 不可拆卸式电池, 智能真8核, 3000mAh, 直板, 虚拟触屏键盘, 9.0mm, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 2GB 8MB, 5.5英寸, 电容式, 1920x1080,（420人气）,
 Daxian/大显, dx286, 红色 黑色, 无操作系统,269.00,20,, 老人手机, 可拆卸式电池, 无,, 12键标准键盘, 1CM以上,, 无摄像头, 3GP,, 无, 无, 1.8英寸, 非触摸屏, 128x160,（35人气）,
 KINGSUN/广信, 白色 黑色, Android/安卓, 拍照手机 时尚手机 智能手机 商务手机,299.00,13,, 可拆卸式电池, 单核心, 1GHz, 1300mAh, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 200万, 单摄像头, 480P(逐行标清D2), 512MB, 256MB, 4.0英寸, 电容式, 800x480,（28人气）,
 ZTE/中兴, U5, 白色, Android/安卓,680.00,3,, 拍照手机 音乐手机 时尚手机 智能手机 商务手机, 不可拆卸式电池, 四核心, 1.5GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB, 1GB, 5.7英寸, 电容式, 1280x720,（83人气）,
 Huawei/华为, G716-L070, 深蓝色, Android/安卓,880.00,8,, 智能手机 4G手机, 可拆卸式电池, 双核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 4GB, 1GB, 5.0英寸, 电容式, 1280x800,（37人气）,
 Lenovo/联想, A398T+, 深海蓝, Android/安卓,380.00,3,, 智能手机 3G手机, 可拆卸式电池, 四核心, 1GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4MB, 512MB, 4.5英寸, 电容式, 854x480,（10人气）,
 Lenovo/联想, A668T, 魅惑黑, Android/安卓,350.00,2,, 智能手机, 可拆卸式电池, 单核心, 1500mAh, 直板, 虚拟触屏键盘, 1CM以上, 500万, 单摄像头, 480P(逐行标清D2), 4GB, 512MB, 4.0英寸, 电容式, 800x480,（22人气）,
 K-Touch/天语, T91, 黄色 白色 粉色 黑色 绿色, Android/安卓,500.00,8,, 智能手机, 可拆卸式电池, 双核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4GB, 512MB, 5.0英寸, 电容式, 854x480,（12人气）,
 K-Touch/天语, M6, 白色, Android/安卓,959.00,2,, 音乐手机 时尚手机 智能手机 3G手机 4G手机, 可拆卸式电池, 四核心, 1.6GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 6.0英寸, 电容式, 1920x1080,（221人气）,
 K-Touch/天语, S757, 红色 黑色 黄色, Android/安卓,288.00,2,, 智能手机, 可拆卸式电池, 无, 2000mAh, 直板, 虚拟触屏键盘, 9mm以下, 500万, 双摄像头（前后）, 720P(逐行高清D4), 4GB, 512MB, 5.0英寸, 电容式, 854x480,（23人气）,
 Coolpad/酷派, 5820, 雅致黑, Android/安卓,178.00,2,, 拍照手机 时尚手机 智能手机 3G手机 商务手机, 可拆卸式电池, 无, 1300mAh, 直板, 虚拟触屏键盘, 1CM以上, 300万, 单摄像头, 480P(逐行标清D2), 512MB, 256MB, 3.5英寸, 电容式, 320x240,（55人气）,
 Coolpad/酷派, 5860, 灰色, Android/安卓,255.00,1,, 智能手机 3G手机 商务手机, 可拆卸式电池, 单核心, 800MHz,, 直板, 虚拟触屏键盘,, 300万, 单摄像头, 512MB, 256MB, 4.0英寸, 电容式, 800x480,（5人气）,
 ZTE/中兴, N880E, 银黑, Android/安卓,198.00,2,, 拍照手机, 不可拆卸式电池, 单核心, 1GHz,, 直板, 虚拟触屏键盘,, 300万, 单摄像头, 4GB, 512MB, 4.0英寸, 电容式, 800x480,（93人气）,
 K-Touch/天语, U81T, 白色 黑色, Android/安卓,599.00,3,, 拍照手机, 可拆卸式电池, 双核心, 1GHz,, 直板, 虚拟触屏键盘,, 500万, 单摄像头, 4GB, 512MB, 4.5英寸, 电容式, 854x480,（18人气）,
 K-Touch/天语, Tou&nbsp;ch&nbsp;1, 深海蓝 瓷白色, Android/安卓,980.00,2,, 拍照手机, 不可拆卸式电池, 双核心, 1.4GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 8GB, 1GB, 5.5英寸, 电容式, 1280x720,（70人气）,
 UniSTAR/友信达, A6, 黑色, 无操作系统,399.00,2,, 拍照手机 音乐手机 时尚手机 智能手机 商务手机 老人手机, 可拆卸式电池, 无, 2000mAh, ?直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 480I(隔行标清D1), 无, 无, 2.8英寸, 电阻式触摸屏, 800x480,（46人气）,
 Coolpad/酷派, 8195, 风潮白, Android/安卓,395.00,1,, 智能手机, 可拆卸式电池, 双核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4GB, 1GB, 5.0英寸, 电容式, 960x480像素,（62人气）,
 无操作系统, 老人手机, 可拆卸式电池,,318.00,1,, 直板, 12键标准键盘, 9mm(含)-10mm(含),,,,,,,, 1606, Coolpad/酷派, 2.4英寸, 非触摸屏, 320x240,（442人气）,
 索爱, SA-i920&nbsp;豪华版, 白色, Android/安卓,519.00,1,, 拍照手机, 可拆卸式电池, 双核心, 1GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 512MB, 512MB, 4.0英寸, 电容式, 800x480,（254人气）,
 东信, EA188T, 锖色, 无操作系统,199.00,2,, 老人手机, 可拆卸式电池, 单核心, 无,, 直板, 12键标准键盘,, 30万, 单摄像头, 无, 无, 2.3英寸, 非触摸屏, 320x240,（11人气）,
 Samsung/三星, SM-G7106, 白色 黑色, Android/安卓,1430.00,1,, 时尚手机 智能手机 3G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB, 1.5GB, 5.25英寸, 电容式, 720x1280像素,（59人气）,
 Lenovo/联想, K910E, 铂雅银, Android/安卓,1250.00,1,, 拍照手机 时尚手机 智能手机 3G手机, 不可拆卸式电池, 四核心, 2.2GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.5英寸, 电容式, 1920x1080,（14人气）,
 ZTE/中兴, G717C, 钛金黑, Android/安卓,859.00,0,, 时尚手机 智能手机 3G手机 商务手机, 不可拆卸式电池, 八核, 1.7G,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB, 1GB, 5.0英寸, 电容式, 1280x720,（279人气）,
 KINGSUN/广信, cf310, 白 红 黑, 无操作系统,299.00,1,, 拍照手机 老人手机, 可拆卸式电池, 无, 1000mAh, 翻盖, 12键标准键盘, 1CM以上, 30万, 单摄像头, 不支持, 16MB, 8MB, 2.4英寸, 非触摸屏, 320x240,（286人气）,
 UniSTAR/友信达, A3L, 红色 香槟金, 无操作系统,599.00,2,, 拍照手机 女性手机 老人手机, 可拆卸式电池, 无, 2000mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, MP4/Ts/ASF/WMV/MKV/Webm/AVI/DivX/3gp/3g2, 无, 无, 2.0, 非触摸屏, 320x240,（1人气）,
 VOTO, UMI-X2, 云石白 钛金灰, Android/安卓,2699.00,0,, 拍照手机 时尚手机 智能手机 3G手机 女性手机, 可拆卸式电池, 四核心, 1.5GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 1GB, 5.0英寸, 电容式, 1920x1080,（15854人气）,
 Samsung/三星, sm-g3559, 白色 黑色, Android/安卓,548.00,19,, 拍照手机 时尚手机 智能手机 3G手机, 可拆卸式电池, 双核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 300万, 单摄像头, 4GB, 512MB, 4.5英寸, 电容式, 800x480像素,（411人气）,
 索爱, s39i, 粉色 白色 黑色, Android/安卓,1189.00,1,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 商务手机 女性手机 老人手机, 可拆卸式电池, 八核, 1.4GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 8GB, 1GB, 5.0英寸, 电容式, 854x480,（157人气）,
 Lenovo/联想, A828T, 炫酷银, Android/安卓,999.00,1,, 拍照手机 智能手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB, 1GB, 5.0英寸, 电容式, 1280x720,（1310人气）,
 YEPEN/誉品, DM8, 金色, Android/安卓,1899.00,1,, 拍照手机 音乐手机 时尚手机 智能手机 电视手机 4G手机 商务手机, 不可拆卸式电池, 四核, 2450mAh, 直板, 虚拟触屏键盘, 7mm, 800万, 双摄像头（前后）, 720P(逐行高清D4), 16GB, 1GB, 5.25, 电容式, 1280x720,（4人气）,
 Sharp/夏普, SH7218T, 白色 粉色 黑色, Android/安卓,1199.00,2,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 商务手机 女性手机 老人手机, 可拆卸式电池, 单核心, 800MHz,, 翻盖, 12键标准键盘,, 800万, 单摄像头, 512MB, 512MB, 3.3英寸, 电容式, 854x480,（2785人气）,
 HTC, new&nbsp;HTC&nbsp;One&nbsp;802d, 极地黑 冰川银, Android/安卓,1288.00,6,, 拍照手机 时尚手机, 不可拆卸式电池, 四核心, 1.7GHz,, 直板, 虚拟触屏键盘,, 400万, 双摄像头（前后）, 16GB 32GB, 2GB, 4.7英寸, 电容式, 1920x1080,（835人气）,
 K-Touch/天语, T619, 黑色 黄色, Android/安卓,399.00,1,, 智能手机 3G手机, 可拆卸式电池, 单核心, 1GHz,, 直板, 虚拟触屏键盘,, 200万, 单摄像头, 512MB, 256MB, 3.5英寸, 电容式, 480X320,（23人气）,
 BIRD/波导, 黑色, Android/安卓, 4G手机,899.00,1,, 可拆卸式电池, 四核心, 1.3GHz, 1720mAh, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 800万, 双摄像头（前后）, 480P(逐行标清D2), 4GB, 1GB, 5.5英寸, 电容式, 960x540,（2人气）,
 K-Touch/天语, C986T, 白色 黑色, Android/安卓,198.00,2,, 智能手机, 可拆卸式电池, 双核心, 1GHz,, 直板, 虚拟触屏键盘,, 300万, 单摄像头, 4GB, 256MB, 4.0英寸, 电容式, 800x480,（16人气）,
 Yusun/语信, 小辣椒3电信版, 热辣粉 辛辣黑 麻辣白, Android/安卓,699.00,0,, 拍照手机 音乐手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 4GB, 1GB, 5.5英寸, 电容式, 1280x720,（11人气）,
 iocEaN/欧盛, G7, 黑白, Android/安卓,2199.00,1,, 拍照手机 时尚手机 智能手机 3G手机, 可拆卸式电池, 八核, 1.7G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 6.44英寸, 电容式, 1920x1080,（48人气）,
 KINGSUN/广信, S9, 白色 黑色, Android/安卓,799.00,1,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 电视手机 4G手机 商务手机 女性手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB, 1GB, 5.5英寸, 电容式, 960x540,（17人气）,
 K-Touch/天语, Kis&nbsp;1, 黑色 绿色, Android/安卓,1599.00,1,, 智能手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 4GB, 512MB, 5.0英寸, 电容式, 960x540,（150人气）,
 Lenovo/联想, Z2W, 象牙白, Android/安卓,1500.00,0,, 智能手机 3G手机 4G手机, 不可拆卸式电池, 四核, 3000mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万像素, 双摄像头（前后）, 4k, 32GB, 2GB, 5.5英寸, 电容式, 1280x720,（6人气）,
 Meizu/魅族, 魅蓝Metal, 灰色 金色 粉色 白色 蓝色, FLyme,1500.00,12,, 拍照手机 音乐手机 时尚手机, 不可拆卸式电池, 八核, 2.0G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB 32GB, 2GB, 5.5英寸, 电容式, 1920x1080像素,（29人气）,
 PULID/普莱达, F17, 黑色, Android/安卓,1099.00,1,, 智能手机 3G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 4GB, 1GB, 4.3英寸, 电容式, 960x540,（15人气）,
 Hisense/海信, 悠悠蓝 薇薇白, Android/安卓, 拍照手机 智能手机 3G手机 4G手机,1299.00,0,, 不可拆卸式电池, 四核, 2000mAh,, 虚拟触屏键盘, 9mm以下,, 双摄像头（前后）, 720P(逐行高清D4),, 16GB, 1GB, 5.0英寸, 电容式, 1280x720,（2人气）,
 Infocus/富可视, 炫酷金, Android/安卓, 时尚手机 智能手机 4G手机 商务手机,1499.00,0,, 不可拆卸式电池, 八核, 1.3GHz, 2450mAh, 直板, 虚拟触屏键盘, 7.56mm, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 2GB, 5.2英寸, 电容式, 1920*1080,（7人气）,
 Sugar, SS119钻石版, 黄色（黄钻） 粉色（白钻）, Android/安卓,8988.00,0,, 拍照手机 音乐手机 时尚手机 智能手机 电视手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 四核, 2000mAh, 直板, 虚拟触屏键盘, 9mm以下, 800万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 2GB, 4.7英寸, 电容式, 1080X720,（754人气）,
 Xiaomi/小米, 小米Note&nbsp;64GB, 白色, MIUI,2499.00,0,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机, 不可拆卸式电池, 四核心, 2.5GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 64GB, 3GB, 5.7英寸, 电容式, 1920x1080,（4人气）,
 索爱, sa-i350, 黑色 金色, 无操作系统,299.00,1,, 拍照手机 音乐手机 时尚手机 商务手机, 可拆卸式电池, 无, 1600mAh, 直板, 12键标准键盘, 1CM以上, 200万, 单摄像头, 360P(逐行标清), 128MB 无, 无, 2.4英寸, 非触摸屏, 320x240,（97人气）,
 康力, L1000, 红色 金色 铁灰色, 无操作系统,399.00,1,, 拍照手机 音乐手机 老人手机, 可拆卸式电池, 无, 1000mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 480P(逐行标清D2), 无, 无, 2.4英寸, 电阻式触摸屏, 320x240,（278人气）,
, 直板,, 320万,2599.00,1,,,,,,,,,,,, 黑色, 9530, 3.2英寸, 电容式,,（376人气）,
